encrypted	chiffré
cast	transtypage
library	bibliothèque
decrypt	déchiffrer
password string	mot de passe sous forme de chaîne
piece	partie
encrypt	chiffre
output box	boîte de dialogue de sortie
hash digest	synthèse de hachage
return value	valeur de retour
to process	à traiter
failed to	impossible de
couldn't	impossible de
cannot	impossible de
relevant	approprié
input file	fichier d'entrée
Set	définit
